author,title,language,subject,category,ebookNo,releaseDate,copyrightStatus,downloadNum,price
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Serviss, Garrett Putman, 1851-1929",,,,,,,,,
,,,,,,,,,
,"
Pleasures of the telescope,An Illustrated Guide for Amateur Astronomers and a Popular Description of the Chief Wonders of the Heavens for General Readers
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Hurll, Estelle M. (Estelle May), 1863-1924",,,,,,,,,
,"
Jean François Millet,A Collection of Fifteen Pictures and a Portrait of the Painter, with Introduction and Interpretation
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Berenson, Bernard, 1865-1959",,,,,,,,,
,"
The Florentine Painters of the Renaissance,With An Index To Their Works
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Various",,,,,,,,,
,,,,,,,,,
,"
Armour's Monthly Cook Book, Volume 2, No. 12, October 1913,A Monthly Magazine of Household Interest
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Humphrey, S. D. (Samuel Dwight), 1823-1883",,,,,,,,,
,"
American Hand Book of the Daguerreotype
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Lanzi, Luigi, 1732-1810",,,,,,,,,
,,,,,,,,,
,"
The History of Painting in Italy, Vol. 1 (of 6),From the Period of the Revival of the Fine Arts to the End of the Eighteenth Century
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Tennant, John A.",,,,,,,,,
,"
Bromide Printing and Enlarging,A Practical Guide to the Making of Bromide Prints by Contact and Bromide Enlarging by Daylight and Artificial Light, With the Toning of Bromide Prints and Enlargements
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Clutton-Brock, A. (Arthur), 1868-1924",,,,,,,,,
,"
Bell's Cathedrals: The Cathedral Church of York,A Description of Its Fabric and A Brief History of the Archi-Episcopal See
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Undiano y Gastelu, Sebastian",,,,,,,,,
,"
Proyecto de traslacion de las fronteras de Buenos Aires al Rio Negro y Colorado
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Beck, James M. (James Montgomery), 1861-1936",,,,,,,,,
,"
The Constitution of the United States,A Brief Study of the Genesis, Formulation and Political Philosophy of the Constitution
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"
The Constitution of the United States of America: Analysis and Interpretation,Annotations of Cases Decided by the Supreme Court of the United States to June 30, 1952
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Corwin, Edward Samuel, 1878-1963",,,,,,,,,
,,,,,,,,,
,"
John Marshall and the Constitution, a Chronicle of the Supreme Court
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Holbach, Paul Henri Thiry, baron d', 1723-1789",,,,,,,,,
,"
The System of Nature, or, the Laws of the Moral and Physical World. Volume 2
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Nietzsche, Friedrich Wilhelm, 1844-1900",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"
Beyond Good and Evil
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Holbach, Paul Henri Thiry, baron d', 1723-1789",,,,,,,,,
,"
The System of Nature, or, the Laws of the Moral and Physical World. Volume 1
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Brooks, David Marshall, 1902-",,,,,,,,,
,"
The Necessity of Atheism
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Holbach, Paul Henri Thiry, baron d', 1723-1789",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"
Superstition In All Ages (1732),Common Sense
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Nietzsche, Friedrich Wilhelm, 1844-1900",,,,,,,,,
,"
Jenseits von Gut und Böse
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Goldman, Emma, 1869-1940",,,,,,,,,
,,,,,,,,,
,"
Anarchism and Other Essays
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Paine, Thomas, 1737-1809",,,,,,,,,
,,,,,,,,,
,"
The Writings of Thomas Paine — Volume 4 (1794-1796): The Age of Reason
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Nietzsche, Friedrich Wilhelm, 1844-1900",,,,,,,,,
,,,,,,,,,
,"
Beyond Good and Evil
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Jefferson, Thomas, 1743-1826",,,,,,,,,
,"
The Declaration of Independence of The United States of America
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Calhoun, A. R. (Alfred Rochefort), 1844-",,,,,,,,,
,"
Business Hints for Men and Women
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Anonymous",,,,,,,,,
,"
The Magna Carta
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,United States",,,,,,,,,
,"
The United States Bill of Rights,The Ten Original Amendments to the Constitution of the United States
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,United States",,,,,,,,,
,"
The United States Constitution
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Jefferson, Thomas, 1743-1826",,,,,,,,,
,"
The Declaration of Independence of the United States of America
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Holmes, Oliver Wendell, 1841-1935",,,,,,,,,
,"
The Common Law
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Burroughs, John, 1837-1921",,,,,,,,,
,"
Squirrels and Other Fur-Bearers
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Hamilton, Alexander, 1757-1804",,,,,,,,,
"
,Jay, John, 1745-1829",,,,,,,,,
"
,Madison, James, 1751-1836",,,,,,,,,
,"
The Federalist Papers
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Hulbert, William Davenport, 1868-1913",,,,,,,,,
,"
Forest Neighbors: Life Stories of Wild Animals
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Long, William J. (William Joseph), 1867-1952",,,,,,,,,
,,,,,,,,,
,"
Ways of Wood Folk
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"
Natural History in Anecdote,Illustrating the nature, habits, manners and customs of animals, birds, fishes, reptiles, etc., etc., etc.
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Deacon, James E., 1934-2015",,,,,,,,,
,"
Fish Populations, Following a Drought, in the Neosho and Marais des Cygnes Rivers of Kansas
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Long, William J. (William Joseph), 1867-1952",,,,,,,,,
,"
Wood Folk at School
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Slack, Henry James, 1818-1896",,,,,,,,,
,"
Marvels of Pond-life,Or, A Year's Microscopic Recreations Among the Polyps, Infusoria, Rotifers, Water-bears and Polyzoa
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Lee, R., Mrs., 1791-1856",,,,,,,,,
,,,,,,,,,
,"
Anecdotes of the Habits and Instinct of Animals
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Sturgis, Melvin",,,,,,,,,
,"
The Unprotected Species
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Swainson, William, 1789-1855",,,,,,,,,
,"
Zoological Illustrations, Volume 1,or, Original Figures and Descriptions of New, Rare, or Interesting Animals
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Woodworth, Francis C. (Francis Channing), 1812-1859",,,,,,,,,
,"
Stories about Animals: with Pictures to Match
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Seton, Ernest Thompson, 1860-1946",,,,,,,,,
,"
Wild Animals at Home
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Rees, Alfred Wellesley, 1872-1917",,,,,,,,,
,,,,,,,,,
,"
Creatures of the Night: A Book of Wild Life in Western Britain
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Dixon, Royal, 1885-1962",,,,,,,,,
,"
The Human Side of Animals
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Burroughs, John, 1837-1921",,,,,,,,,
,"
Ways of Nature
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Seton, Ernest Thompson, 1860-1946",,,,,,,,,
,"
Lobo, Rag and Vixen,Being The Personal Histories Of Lobo, Redruff, Raggylug & Vixen
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Billinghurst, Percy J.",,,,,,,,,
,,,,,,,,,
,"
A Hundred Anecdotes of Animals
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Ghosh, Sarath Kumar, 1883-",,,,,,,,,
,"
The Wonders of the Jungle, Book One
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Lucas, Frederic Colby",,,,,,,,,
"
,Shinn, Harold Brough, 1877-",,,,,,,,,
"
,Smallwood, Mabel Elizabeth",,,,,,,,,
"
,Whitney, Worrallo",,,,,,,,,
,,,,,,,,,
,"
A Guide for the Study of Animals
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,De Gubernatis, Angelo, 1840-1913",,,,,,,,,
,"
Zoological Mythology; or, The Legends of Animals, Volume 1 (of 2)
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Swainson, William, 1789-1855",,,,,,,,,
,"
Zoological Illustrations, Volume 2,or, Original Figures and Descriptions of New, Rare, or Interesting Animals
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Lucas, Frederic A. (Frederic Augustus), 1852-1929",,,,,,,,,
,,,,,,,,,
,"
Animals of the Past
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Hornaday, William T. (William Temple), 1854-1937",,,,,,,,,
,"
Our Vanishing Wild Life: Its Extermination and Preservation
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Cuyer, Édouard, 1852-",,,,,,,,,
,"
Artistic Anatomy of Animals
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Fabre, Jean-Henri, 1823-1915",,,,,,,,,
,,,,,,,,,
,"
The Life of the Spider
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Prescott, William Hickling, 1796-1859",,,,,,,,,
,"
History of the Conquest of Peru,With a Preliminary View of the Civilization of the Incas
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Hose, Charles, 1863-1929",,,,,,,,,
"
,McDougall, William, 1871-1938",,,,,,,,,
,,,,,,,,,
,"
The Pagan Tribes of Borneo,A Description of Their Physical Moral and Intellectual Condition, with Some Discussion of Their Ethnic Relations
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Matthews, Washington, 1843-1905",,,,,,,,,
,"
Navajo weavers,Third Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1881-'82, Government Printing Office, Washington, 1884, pages 371-392.
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Molkenboer, Theodoor, 1871-1920",,,,,,,,,
,"
De Nederlandsche Nationale Kleederdrachten
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Morgan, Lewis Henry, 1818-1881",,,,,,,,,
,"
Houses and House-Life of the American Aborigines
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Frazer, James George, 1854-1941",,,,,,,,,
,"
The Belief in Immortality and the Worship of the Dead, Volume 1 (of 3),The Belief Among the Aborigines of Australia, the Torres Straits Islands, New Guinea and Melanesia
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Matthews, Washington, 1843-1905",,,,,,,,,
,"
Navajo Silversmiths,Second Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1880-1881, Government Printing Office, Washington, 1883, pages 167-178
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Frazer, James George, 1854-1941",,,,,,,,,
,"
Balder the Beautiful, Volume I.,A Study in Magic and Religion: the Golden Bough, Part VII., The,Fire-Festivals of Europe and the Doctrine of the External Soul
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Williamson, Robert Wood, 1856-1932",,,,,,,,,
,,,,,,,,,
,"
The Mafulu: Mountain People of British New Guinea
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Semple, Ellen Churchill, 1863-1932",,,,,,,,,
,"
Influences of Geographic Environment,On the Basis of Ratzel's System of Anthropo-Geography
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Cole, Fay-Cooper, 1881-1961",,,,,,,,,
,,,,,,,,,
,"
The Wild Tribes of Davao District, Mindanao,The R. F. Cummings Philippine Expedition
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Gulick, Sidney Lewis, 1860-1945",,,,,,,,,
,"
Evolution Of The Japanese, Social And Psychic
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Harrison, Jane Ellen, 1850-1928",,,,,,,,,
,"
Ancient Art and Ritual
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Wollaston, A. F. R. (Alexander Frederick Richmond), 1875-1930",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,"
Pygmies & Papuans: The Stone Age To-day in Dutch New Guinea
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Marett, R. R. (Robert Ranulph), 1866-1943",,,,,,,,,
,"
Anthropology
",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"
,Haeckel, Ernst, 1834-1919",,,,,,,,,
,"
The Evolution of Man
",,,,,,,,
,,,,,,,,,
